Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Empresa;Estado_Civil;Salario
Vernon;Clark;Olinda;Pernambuco;26/12/35;Financeiro;Solteiro;R$9,181
Bryar;Higgins;São José dos Pinhais;PR;15/01/10;Serviço ao Cliente;Casado;R$8,431
Isabelle;Townsend;Caxias do Sul;Rio Grande do Sul;26/03/17;Vendas;Viúvo;R$7,759
Leilani;Burke;Juazeiro do Norte;CE;10/07/88;Marketing;Solteiro;R$5,609
Yolanda;Albert;Caucaia;Ceará;01/01/70;Suporte Técnico;Divorciado;R$6,778
Jared;Shields;Juiz de Fora;Minas Gerais;06/07/85;Jurídico;Casado;R$8,668
Pearl;Lowery;Valparaíso de Goiás;GO;28/07/51;Vendas;Viúvo;R$6,168
Kiona;Lara;Ribeirão Preto;SP;05/04/65;Financeiro;Divorciado;R$9,339
Nehru;Sanford;Carapicuíba;São Paulo;18/10/31;Gerenciamento;Solteiro;R$6,933
Kelly;Thornton;Mauá;SP;10/04/19;Vendas;Casado;R$9,203
Kelsie;Beach;Parauapebas;PA;13/01/03;Vendas;Casado;R$9,870
Theodore;Baxter;Duque de Caxias;Rio de Janeiro;18/11/54;Jurídico;Solteiro;R$7,382
Griffin;Lindsay;Petrópolis;RJ;09/03/68;Gerenciamento;Solteiro;R$6,217
Charlotte;Cabrera;Sobral;Ceará;08/03/79;Serviço ao Cliente;Divorciado;R$9,338
Nicole;Gaines;Imperatriz;Maranhão;25/08/79;Financeiro;Divorciado;R$8,752
Erasmus;Dodson;Chapecó;SC;07/08/45;Serviço ao Cliente;Divorciado;R$6,534
Christopher;Estes;Osasco;SP;04/06/96;Financeiro;Casado;R$8,698
Madaline;Gonzalez;Maringá;PR;03/07/75;Pesquisa e Desenvolvimento;Divorciado;R$9,673
Drew;Walsh;São João de Meriti;Rio de Janeiro;24/05/30;Marketing;Solteiro;R$6,322
Amber;Hardy;Itajaí;SC;09/04/94;Pesquisa e Desenvolvimento;Solteiro;R$8,868
Chaney;Cobb;Santa Rita;Paraíba;20/12/41;Relações Públicas;Viúvo;R$7,966
Darius;Sellers;Sobral;Ceará;05/06/04;Suporte Técnico;Viúvo;R$7,044
Axel;Fulton;Caruaru;PE;14/02/88;Suporte Técnico;Divorciado;R$7,043
